"category"	"name"	"url"	"description"	"star"	"stackOverflow"	"stackOverflowUrl"	"license"	"licenseUrl"	"site"	"userGuide"	"newStars"	"newWatchs"	"newForks"	"pageText"	"newStackOverflow"	"github"	"allText"	"isExist"
"Ancients"	"Apache Ant"	"http://ant.apache.org/"	"Build process management with XML."	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"Build process management with XML."	"true"
"Ancients"	"Apache Hadoop"	"http://hadoop.apache.org/"	"Storage and large-scale processing of data-sets on clusters of commodity hardware."	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"Storage and large-scale processing of data-sets on clusters of commodity hardware."	"true"
"Ancients"	"Apache OpenNLP"	"https://opennlp.apache.org/"	"Toolkit for common tasks like tokenization."	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"Toolkit for common tasks like tokenization."	"true"
"Ancients"	"Apache Velocity"	"http://velocity.apache.org/"	"Templates for HTML pages, emails or source code generation in general."	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"Templates for HTML pages, emails or source code generation in general."	"true"
"Ancients"	"FreeMarker"	"http://freemarker.org/"	"General templating engine without any heavyweight or opinionated dependencies."	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"General templating engine without any heavyweight or opinionated dependencies."	"true"
"Ancients"	"GlassFish"	"https://glassfish.java.net/"	"Application server and reference implementation for Java EE sponsored by Oracle."	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"Application server and reference implementation for Java EE sponsored by Oracle."	"true"
"Ancients"	"GWT"	"http://www.gwtproject.org/"	"Toolbox which includes a Java-to-JavaScript compiler for client-side code, XML parser, API for RPC, JUnit integration, internationalization support and widgets for the GUI."	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"Toolbox which includes a Java-to-JavaScript compiler for client-side code, XML parser, API for RPC, JUnit integration, internationalization support and widgets for the GUI."	"true"
"Ancients"	"HornetQ"	"http://hornetq.jboss.org/"	"Clear, concise, modular and made to be embedded."	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"Clear, concise, modular and made to be embedded."	"true"
"Ancients"	"Hudson"	"http://hudson-ci.org/"	"Continuous integration server still in active development."	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"Continuous integration server still in active development."	"true"
"Ancients"	"Java Modeling Language (JML)"	"http://www.eecs.ucf.edu/%7Eleavens/JML/"	"Behavioral interface specification language that can be used to specify the behavior of code modules. It combines the design by contract approach of Eiffel and the model-based specification approach of the Larch family of interface specification languages, with some elements of the refinement calculus. Used by several other verification tools."	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"Behavioral interface specification language that can be used to specify the behavior of code modules. It combines the design by contract approach of Eiffel and the model-based specification approach of the Larch family of interface specification languages, with some elements of the refinement calculus. Used by several other verification tools."	"true"
