"category"	"name"	"url"	"description"	"star"	"stackOverflow"	"stackOverflowUrl"	"license"	"licenseUrl"	"site"	"userGuide"	"newStars"	"newWatchs"	"newForks"	"pageText"	"newStackOverflow"	"github"	"allText"	"isExist"
"Dependency Injection and AOP frameworks"	"Spring Framework"	"https://github.com/spring-projects/spring-framework"	"The Spring Framework provides a comprehensive programming and configuration model for modern Java-based enterprise applications -- on any kind of deployment platform. A key element of Spring is infrastructural support at the application level: Spring focuses on the ""plumbing"" of enterprise applications so that teams can focus on application-level business logic, without unnecessary ties to specific deployment environments..."	"5921"	"null"	"null"	"Apache 2"	"http://www.apache.org/licenses/LICENSE-2.0"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"https://github.com/spring-projects/spring-framework"	"The Spring Framework provides a comprehensive programming and configuration model for modern Java-based enterprise applications -- on any kind of deployment platform. A key element of Spring is infrastructural support at the application level: Spring focuses on the ""plumbing"" of enterprise applications so that teams can focus on application-level business logic, without unnecessary ties to specific deployment environments..."	"true"
"Collections"	"Google Guava"	"https://github.com/google/guava"	"The Guava project contains several of Google's core libraries that we rely on in our Java-based projects: collections, caching, primitives support, concurrency libraries, common annotations, string processing, I/O, and so forth.Requires JDK 1.6 or higher (as of 12.0).."	"3813"	"null"	"null"	"Apache 2"	"http://www.apache.org/licenses/LICENSE-2.0"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"https://github.com/google/guava"	"The Guava project contains several of Google's core libraries that we rely on in our Java-based projects: collections, caching, primitives support, concurrency libraries, common annotations, string processing, I/O, and so forth.Requires JDK 1.6 or higher (as of 12.0).."	"true"
"1. Common frameworks and libraries"	"Apache Commons"	"http://commons.apache.org/"	"Apache Commons is an Apache project focused on all aspects of reusable Java components.Commons Proper is dedicated to one principal goal: creating and maintaining reusable Java components.."	"null"	"null"	"null"	"Apache 2"	"http://www.apache.org/licenses/LICENSE-2.0"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"Apache Commons is an Apache project focused on all aspects of reusable Java components.Commons Proper is dedicated to one principal goal: creating and maintaining reusable Java components.."	"true"
"1. Common frameworks and libraries"	"Spring Boot"	"https://github.com/spring-projects/spring-boot"	"— Spring Boot makes it easy to create Spring-powered, production-grade applications and services with absolute minimum fuss. It takes an opinionated view of the Spring platform so that new and existing users can quickly get to the bits they need.."	"2386"	"null"	"null"	"Apache 2"	"http://www.apache.org/licenses/LICENSE-2.0"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"https://github.com/spring-projects/spring-boot"	"— Spring Boot makes it easy to create Spring-powered, production-grade applications and services with absolute minimum fuss. It takes an opinionated view of the Spring platform so that new and existing users can quickly get to the bits they need.."	"true"
"1. Common frameworks and libraries"	"Lombok"	"https://github.com/rzwitserloot/lombok"	"Very spicy additions to the Java programming language. Project Lombok makes java a spicier language by adding 'handlers' that know how to build and compile simple, boilerplate-free, not-quite-java code.."	"1540"	"null"	"null"	"MIT"	"https://opensource.org/licenses/MIT"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"https://github.com/rzwitserloot/lombok"	"Very spicy additions to the Java programming language. Project Lombok makes java a spicier language by adding 'handlers' that know how to build and compile simple, boilerplate-free, not-quite-java code.."	"true"
"1. Common frameworks and libraries"	"Puniverse Quasar"	"https://github.com/puniverse/quasar"	"Fibers, Channels and Actors for the JVM.. Eclipse Public v1.0/."	"1091"	"null"	"null"	"GNU Lesser 3"	"https://en.wikipedia.org/wiki/GNU_Lesser_General_Public_License"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"https://github.com/puniverse/quasar"	"Fibers, Channels and Actors for the JVM.. Eclipse Public v1.0/."	"true"
"1. Common frameworks and libraries"	"Rootbeer GPU Compiler"	"https://github.com/pcpratts/rootbeer1"	"The Rootbeer GPU Compiler lets you use GPUs from within Java.."	"972"	"null"	"null"	"MIT"	"https://opensource.org/licenses/MIT"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"https://github.com/pcpratts/rootbeer1"	"The Rootbeer GPU Compiler lets you use GPUs from within Java.."	"true"
"1. Common frameworks and libraries"	"Oblac Jodd"	"https://github.com/oblac/jodd"	"Jodd is set of open-source Java micro frameworks and tools; floppy size! Jodd = tools + ioc + mvc + db + aop + tx + json + html < 1.5 Mb.."	"912"	"null"	"null"	"BSD 2"	"https://en.wikipedia.org/wiki/BSD_licenses#2-clause_license_.28.22Simplified_BSD_License.22_or_.22FreeBSD_License.22.29"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"https://github.com/oblac/jodd"	"Jodd is set of open-source Java micro frameworks and tools; floppy size! Jodd = tools + ioc + mvc + db + aop + tx + json + html < 1.5 Mb.."	"true"
"1. Common frameworks and libraries"	"Google Jimfs"	"https://github.com/google/jimfs"	"An in-memory file system for Java 7+.."	"752"	"null"	"null"	"Apache 2"	"http://www.apache.org/licenses/LICENSE-2.0"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"https://github.com/google/jimfs"	"An in-memory file system for Java 7+.."	"true"
"1. Common frameworks and libraries"	"Spring batch"	"https://github.com/spring-projects/spring-batch"	"Spring Batch is a framework for writing offline and batch applications using Spring and Java.."	"448"	"null"	"null"	"Apache 2"	"http://www.apache.org/licenses/LICENSE-2.0"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"https://github.com/spring-projects/spring-batch"	"Spring Batch is a framework for writing offline and batch applications using Spring and Java.."	"true"
